id;host_is_superhost;host_identity_verified;neighbourhood_cleansed;property_type;room_type;accommodates;bathrooms;bedrooms;beds;price;minimum_nights_avg_ntm;maximum_nights_avg_ntm;number_of_reviews;number_of_reviews_ltm;number_of_reviews_l30d;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable
20309328;1;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;6;1;3;6;128;2.8;1125;212;56;6;4.85;4.87;4.85;4.86;4.92;4.89;4.75;0
20318868;0;1;la Nova Esquerra de l'Eixample;Entire serviced apartment;Entire home/apt;2;1;2;1;90;32;180;3;1;0;5;5;5;5;5;5;5;0
19962749;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;6;2;3;3;115;32;1125;1;1;0;3;2;2;5;2;4;1;0
19963099;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;6;2;3;6;115;31.8;1125;1;0;0;5;5;5;5;5;5;5;0
19963459;0;0;Sant Antoni;Entire rental unit;Entire home/apt;3;2;2;4;223;2.8;152.2;48;15;1;4.35;4.58;4.52;4.46;4.42;4.85;4.25;0
19968192;1;1;el Raval;Entire rental unit;Entire home/apt;2;1;1;2;64;35;1125;24;4;1;4.96;4.96;4.83;4.96;5;4.63;4.75;0
19974416;0;1;el Raval;Private room in condo;Private room;2;1;1;1;40;1.9;1125;454;93;3;4.7;4.75;4.78;4.93;4.91;4.9;4.62;1
20464646;0;1;la Barceloneta;Entire rental unit;Entire home/apt;3;1;1;1;90;3;1125;188;32;1;4.4;4.46;4.51;4.64;4.7;4.88;4.27;1
20353402;0;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;5;3.5;2;2;122;3;729;109;8;1;4.63;4.65;4.61;4.93;4.94;4.88;4.51;1
20371070;0;1;el Parc i la Llacuna del Poblenou;Private room in rental unit;Private room;1;1;1;1;30;29;365;45;4;0;4.84;4.87;4.8;4.91;4.78;4.69;4.76;0
20388215;0;1;el Besòs i el Maresme;Private room in rental unit;Private room;1;1;1;1;400;35;1125;91;0;0;4.55;4.65;4.73;4.84;4.8;4.41;4.53;0
20392603;1;1;el Barri Gòtic;Entire rental unit;Entire home/apt;3;1.5;2;2;67;32;1125;12;5;0;5;5;5;5;5;5;4.92;0
20472746;1;1;Vilapicina i la Torre Llobeta;Entire villa;Entire home/apt;16;7.5;8;15;1185;3;442.5;25;8;1;4.96;5;5;5;5;4.74;4.84;1
20486543;1;1;l'Antiga Esquerra de l'Eixample;Entire rental unit;Entire home/apt;6;2;3;4;116;1.1;1125;186;36;1;4.76;4.78;4.79;4.83;4.87;4.78;4.66;1
20486545;1;1;l'Antiga Esquerra de l'Eixample;Entire rental unit;Entire home/apt;8;2;4;6;152;1.1;1125;306;62;3;4.72;4.78;4.71;4.84;4.85;4.72;4.67;1
20486551;1;1;Hostafrancs;Entire rental unit;Entire home/apt;6;2;3;5;115;4.3;1125;216;56;5;4.81;4.89;4.9;4.9;4.88;4.73;4.69;1
20486557;1;1;Hostafrancs;Entire rental unit;Entire home/apt;4;1;2;3;103;4.3;1125;128;28;4;4.66;4.71;4.72;4.84;4.79;4.7;4.59;1
20490744;0;1;el Poble Sec;Private room in guest suite;Private room;2;1.5;1;1;62;31;1125;19;0;0;4.89;4.95;4.89;4.79;4.68;4.84;4.84;0
20534796;1;1;el Poblenou;Entire rental unit;Entire home/apt;3;1;2;1;90;30.3;364;12;3;0;5;5;4.83;5;5;5;5;1
20423057;0;1;Sant Gervasi - Galvany;Entire rental unit;Entire home/apt;4;2;2;3;120;2;999;182;39;2;4.54;4.61;4.62;4.76;4.74;4.76;4.4;1
20433221;1;1;el Poble Sec;Entire rental unit;Entire home/apt;5;2;3;3;68;6.9;14;100;39;2;4.75;4.9;4.72;4.95;4.94;4.94;4.68;0
20923328;0;1;el Poble Sec;Entire rental unit;Entire home/apt;4;1.5;2;3;93;2.9;1125;44;9;0;4.64;4.75;4.8;4.66;4.59;4.7;4.34;1
20535865;0;1;el Fort Pienc;Entire rental unit;Entire home/apt;8;1.5;3;6;59;3.1;1124;11;2;0;3.82;3.82;3.73;4.36;4.45;4.27;3.55;0
20554055;0;1;el Raval;Private room in rental unit;Private room;2;2.5;1;1;140;1.2;58.5;148;43;3;4.78;4.7;4.66;4.81;4.84;4.86;4.66;0
20567444;0;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;2;1;1;2;90;34.6;175;17;0;0;4.82;4.94;4.65;4.76;5;4.94;4.71;0
20579430;1;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;5;1.5;3;4;99;31;88.8;18;5;1;4.94;4.94;4.94;5;5;5;4.83;0
20595369;1;1;l'Antiga Esquerra de l'Eixample;Entire rental unit;Entire home/apt;5;2;3;4;123;4.7;1125;252;41;3;4.87;4.9;4.91;4.92;4.96;4.87;4.77;0
20939600;1;1;la Bordeta;Entire rental unit;Entire home/apt;2;1;1;2;48;32;1125;73;7;0;4.88;4.93;4.88;4.92;4.85;4.61;4.79;0
20939681;0;1;l'Antiga Esquerra de l'Eixample;Entire rental unit;Entire home/apt;8;2;3;3;128;2.8;1125;138;24;4;4.41;4.5;4.45;4.59;4.63;4.72;4.41;1
20598770;0;1;el Raval;Private room in rental unit;Private room;2;2.5;1;1;103;1.2;87.7;156;49;4;4.65;4.59;4.65;4.81;4.83;4.88;4.58;0
20599589;0;1;el Raval;Private room in rental unit;Private room;2;2.5;1;1;112;2.1;59;126;39;2;4.68;4.71;4.68;4.73;4.73;4.81;4.67;0
20600074;0;1;el Raval;Private room in rental unit;Private room;2;2;1;1;123;1.1;1122.5;146;43;2;4.71;4.66;4.72;4.73;4.84;4.79;4.65;0
20612172;0;1;el Guinardó;Private room in rental unit;Private room;1;1;1;1;35;2;125;75;0;0;4.96;4.99;4.93;4.97;4.96;4.82;4.95;0
20614422;1;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;3;1;3;3;75;30.1;165.7;17;6;1;5;4.94;4.94;5;5;5;4.94;0
20966731;1;1;el Poble Sec;Entire rental unit;Entire home/apt;6;1;3;5;90;3.5;150;402;60;4;4.85;4.89;4.93;4.9;4.96;4.82;4.77;0
20981057;0;1;el Besòs i el Maresme;Private room in rental unit;Private room;1;1;1;1;400;35;1125;37;0;0;4.76;4.76;4.76;4.92;4.7;4.65;4.68;0
20988790;0;1;el Parc i la Llacuna del Poblenou;Private room in rental unit;Private room;2;1.5;1;2;23;8;180;16;1;0;4.25;4.31;4.25;4.44;4.56;4.88;4.38;0
20995607;1;1;el Raval;Private room in rental unit;Private room;1;1;1;1;43;2;29;271;20;1;4.78;4.84;4.96;4.88;4.94;4.75;4.77;0
20996042;0;1;el Besòs i el Maresme;Private room in rental unit;Private room;2;1;1;1;400;35;1125;44;0;0;4.68;4.73;4.82;4.93;4.75;4.61;4.55;0
21000077;1;1;la Verneda i la Pau;Private room in rental unit;Private room;1;1;1;1;56;2;32;156;32;0;4.78;4.81;4.85;4.81;4.81;4.53;4.63;0
21002036;0;1;el Camp d'en Grassot i Gràcia Nova;Entire rental unit;Entire home/apt;6;1.5;3;4;139;4.1;1125;294;40;2;4.76;4.8;4.91;4.87;4.89;4.91;4.73;0
20626518;1;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;7;2;3;3;146;2;1125;333;71;1;4.89;4.91;4.93;4.94;4.93;4.93;4.86;0
20629832;1;1;la Dreta de l'Eixample;Private room in rental unit;Private room;2;1;2;2;50;29;730;19;11;1;4.89;4.95;5;4.95;5;5;4.84;0
20647444;1;1;la Sagrada Família;Entire serviced apartment;Entire home/apt;5;1;2;4;145;3;999;328;43;2;4.88;4.93;4.88;4.92;4.96;4.98;4.8;1
20649362;1;1;l'Antiga Esquerra de l'Eixample;Entire rental unit;Entire home/apt;4;1;2;3;109;1.1;1125;156;30;2;4.74;4.79;4.72;4.81;4.75;4.71;4.65;1
20671406;0;1;Vilapicina i la Torre Llobeta;Private room in rental unit;Private room;1;1;1;1;28;32;1125;1;1;0;5;5;5;5;5;5;5;1
21006757;0;1;el Poble Sec;Entire loft;Entire home/apt;2;1;0;1;101;7;1125;89;8;0;4.52;4.73;4.47;4.74;4.79;4.7;4.43;0
21050009;0;1;Sant Pere, Santa Caterina i la Ribera;Private room in hostel;Private room;2;1;1;2;73;2.7;300.7;3;1;0;4.33;4.67;4;4.67;5;5;3.67;1
20692509;1;1;l'Antiga Esquerra de l'Eixample;Entire rental unit;Entire home/apt;4;2;2;2;139;3;325;427;67;6;4.85;4.87;4.94;4.92;4.93;4.9;4.75;0
20734492;0;1;la Dreta de l'Eixample;Private room in rental unit;Private room;1;1;1;1;26;32;1125;26;2;0;4.73;4.65;4.69;4.77;4.69;4.77;4.65;0
