id;host_is_superhost;host_identity_verified;neighbourhood_cleansed;property_type;room_type;accommodates;bathrooms;bedrooms;beds;price;minimum_nights_avg_ntm;maximum_nights_avg_ntm;number_of_reviews;number_of_reviews_ltm;number_of_reviews_l30d;review_scores_rating;review_scores_accuracy;review_scores_cleanliness;review_scores_checkin;review_scores_communication;review_scores_location;review_scores_value;instant_bookable
18674;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;8;2;3;6;119;3.4;1125;45;5;0;4.39;4.48;4.59;4.73;4.7;4.8;4.32;1
23197;1;1;el Besòs i el Maresme;Entire rental unit;Entire home/apt;5;2;3;4;219;3.6;1125;81;7;0;4.8;4.94;4.9;4.94;4.99;4.63;4.65;0
32711;0;1;el Camp d'en Grassot i Gràcia Nova;Entire rental unit;Entire home/apt;6;1.5;2;3;70;1.1;31;137;38;0;4.44;4.42;4.37;4.88;4.88;4.88;4.47;0
34241;0;1;el Barri Gòtic;Entire condo;Entire home/apt;2;1;1;1;118;31;180;25;17;0;4.36;4.45;4.55;4.68;4.68;4.73;4.23;0
34981;0;1;el Barri Gòtic;Entire rental unit;Entire home/apt;9;3;4;6;203;4.9;1125;252;35;1;4.53;4.6;4.64;4.67;4.7;4.66;4.43;0
40983;1;1;la Dreta de l'Eixample;Entire condo;Entire home/apt;4;1;1;2;70;2;364;350;60;5;4.49;4.57;4.51;4.83;4.83;4.89;4.47;0
41952;0;1;el Camp d'en Grassot i Gràcia Nova;Entire rental unit;Entire home/apt;4;2;2;4;130;3;1125;102;27;0;4.32;4.4;4.22;4.55;4.48;4.7;4.19;1
320506;0;1;el Poble Sec;Entire rental unit;Entire home/apt;2;1;1;1;100;4;365;74;5;0;4.75;4.89;4.78;4.9;4.89;4.7;4.68;1
330745;0;1;la Vila Olímpica del Poblenou;Entire rental unit;Entire home/apt;4;2;2;2;220;31;365;17;0;0;4.62;4.53;4.76;4.82;5;4.94;4.47;0
330957;1;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;5;1;3;4;96;2;1125;657;74;6;4.78;4.78;4.77;4.88;4.89;4.83;4.69;0
331026;0;1;Sant Antoni;Private room in rental unit;Private room;2;1;1;1;45;3;6;309;46;2;4.66;4.74;4.4;4.89;4.85;4.83;4.72;0
335861;0;1;el Poblenou;Entire rental unit;Entire home/apt;5;1;1;1;132;6.1;1125;122;13;1;4.16;4.3;3.98;4.6;4.66;4.42;4.06;1
49968;0;1;el Camp d'en Grassot i Gràcia Nova;Entire rental unit;Entire home/apt;6;1;2;7;107;1.1;31;121;32;1;4.63;4.79;4.4;4.92;4.95;4.88;4.57;0
58512;1;1;el Camp de l'Arpa del Clot;Entire rental unit;Entire home/apt;5;2;3;3;106;3.1;83.2;397;17;0;4.49;4.53;4.46;4.66;4.77;4.37;4.51;0
68547;0;1;el Barri Gòtic;Entire vacation home;Entire home/apt;4;2;2;2;125;31;730;93;1;0;4.75;4.65;4.31;4.92;4.93;4.9;4.67;0
71553;0;0;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;2;1.5;1;1;157;3;1125;83;2;0;4.24;4.11;4.48;4.46;4.62;4.57;4.15;0
71736;0;1;el Raval;Entire rental unit;Entire home/apt;4;1.5;4;5;68;28;32;10;1;0;3.88;3.63;3.25;3.88;3.75;4.25;3.75;0
341563;0;1;les Corts;Entire rental unit;Entire home/apt;2;1;1;2;100;31;1125;1;0;0;5;5;5;5;5;5;5;0
343861;0;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;4;1;1;1;84;3.4;1125;46;11;0;4.41;4.43;4.41;4.8;4.85;4.74;4.13;1
343864;0;1;la Vila de Gràcia;Entire rental unit;Entire home/apt;7;2;3;5;83;3.4;1125;51;16;2;4.47;4.69;4.47;4.8;4.8;4.82;4.24;1
343866;0;1;la Vila de Gràcia;Entire rental unit;Entire home/apt;7;2;3;4;94;3.4;1125;131;36;2;4.47;4.61;4.54;4.79;4.82;4.9;4.36;1
72436;0;1;el Poblenou;Entire serviced apartment;Entire home/apt;3;1;1;2;96;3.7;28;881;114;29;4.73;4.71;4.77;4.76;4.8;4.79;4.51;0
72793;0;1;el Raval;Entire rental unit;Entire home/apt;2;1;2;2;60;28;32;1;0;0;5;5;4;5;5;4;4;0
72794;0;1;el Raval;Entire rental unit;Entire home/apt;2;1.5;1;1;60;28;32;7;0;0;4.33;4;4;4;4.14;4.14;3.83;0
73683;0;1;el Camp d'en Grassot i Gràcia Nova;Entire rental unit;Entire home/apt;12;2;4;14;251;1.1;31;232;32;1;4.57;4.52;4.41;4.84;4.9;4.8;4.52;0
75411;1;1;el Clot;Entire rental unit;Entire home/apt;6;1;3;4;157;3.1;330;112;23;0;4.46;4.58;4.38;4.9;4.91;4.77;4.37;0
351395;1;1;el Fort Pienc;Entire condo;Entire home/apt;6;2;3;4;119;1;1125;98;12;1;4.58;4.6;4.61;4.74;4.72;4.75;4.37;1
352772;1;1;la Nova Esquerra de l'Eixample;Entire rental unit;Entire home/apt;4;1;2;3;143;2;1125;253;40;4;4.75;4.78;4.67;4.76;4.78;4.76;4.55;1
353640;0;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;6;1.5;2;4;119;3.6;1125;193;2;0;4.55;4.68;4.55;4.74;4.88;4.97;4.53;0
357576;1;1;la Vila de Gràcia;Entire home;Entire home/apt;3;1;3;3;169;2;1125;467;73;4;4.9;4.93;4.92;4.99;4.99;4.96;4.85;0
359841;0;1;Diagonal Mar i el Front Marítim del Poblenou;Entire rental unit;Entire home/apt;4;1;2;2;76;2;1125;527;63;2;4.69;4.79;4.58;4.91;4.89;4.67;4.64;1
83283;0;1;Sant Antoni;Private room in rental unit;Private room;2;1;1;1;59;3;365;133;12;0;4.38;4.37;4.74;4.45;4.72;4.84;4.32;0
89756;1;1;el Raval;Entire rental unit;Entire home/apt;8;1;3;7;266;5.9;1000;25;2;0;4.72;4.64;4.52;4.88;4.92;4.8;4.44;1
89776;1;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;3;1;1;2;74;3.8;999;393;43;4;4.78;4.85;4.81;4.91;4.9;4.93;4.71;1
95719;0;1;Sant Pere, Santa Caterina i la Ribera;Private room in rental unit;Private room;2;1;1;0;90;31;1125;256;0;0;4.75;4.79;4.86;4.81;4.88;4.93;4.63;0
97529;0;1;el Camp d'en Grassot i Gràcia Nova;Entire rental unit;Entire home/apt;2;1;1;1;47;120;1125;67;0;0;4.74;4.86;4.86;4.91;4.91;4.45;4.71;0
364030;0;1;Sant Antoni;Entire rental unit;Entire home/apt;4;1;2;2;100;2.4;1125;432;40;0;4.66;4.7;4.65;4.72;4.77;4.79;4.55;0
365911;0;1;la Nova Esquerra de l'Eixample;Entire rental unit;Entire home/apt;4;1.5;3;3;133;4.9;1125;138;5;0;4.69;4.84;4.59;4.78;4.83;4.83;4.57;0
370665;0;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;6;1;3;4;240;31;365;5;3;0;4.8;4.8;4.8;5;5;5;5;0
373667;0;1;el Barri Gòtic;Entire rental unit;Entire home/apt;3;1;1;3;160;1;1125;5;2;0;4.8;4.4;4.8;5;4.8;5;4.6;0
383894;1;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;2;2;2;0;119;90;330;44;0;0;4.22;4.23;4.33;4.53;4.77;4.63;4;0
110041;0;1;el Camp d'en Grassot i Gràcia Nova;Entire rental unit;Entire home/apt;4;1;1;2;94;3.3;999.1;81;34;3;4.22;4.35;4.26;4.28;4.46;4.69;4.07;0
112538;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;8;2;3;6;201;2.8;32;135;17;3;4.45;4.51;4.57;4.63;4.61;4.84;4.43;1
117010;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;8;2;3;6;182;2.8;30;60;10;1;4.6;4.64;4.64;4.81;4.86;4.88;4.6;0
384063;0;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;6;2;3;4;90;1;1125;9;1;0;3.75;3.75;4.38;4.63;4.25;4.25;3.75;0
384155;1;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;4;2;2;3;125;32;333;73;0;0;4.47;4.51;4.49;4.69;4.69;4.9;4.38;0
384464;1;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;2;1;1;1;800;3;360;229;9;0;4.97;4.98;4.98;4.97;4.99;5;4.92;0
393717;0;1;el Raval;Entire rental unit;Entire home/apt;4;1;2;4;95;3;1125;465;54;1;4.48;4.72;4.45;4.84;4.86;4.64;4.52;1
399772;1;1;la Nova Esquerra de l'Eixample;Entire rental unit;Entire home/apt;3;1;2;2;97;2.2;1125;178;52;2;4.86;4.93;4.92;4.87;4.92;4.74;4.74;0
118228;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;8;2;3;5;205;2.8;28;67;10;2;4.63;4.55;4.67;4.63;4.79;4.91;4.58;0
128463;0;1;Sants;Entire rental unit;Entire home/apt;2;2;1;1;79;3;1125;441;38;3;4.85;4.89;4.93;4.94;4.9;4.72;4.8;0
135513;1;1;el Poblenou;Entire rental unit;Entire home/apt;6;1.5;3;3;63;2;330;160;33;1;4.68;4.77;4.71;4.69;4.8;4.84;4.59;0
136670;1;1;Pedralbes;Private room in rental unit;Private room;1;1;1;1;44;29.6;1125;137;4;0;4.61;4.59;4.53;4.8;4.77;4.79;4.59;0
138055;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;8;2;3;6;192;2.8;28;146;28;6;4.57;4.59;4.61;4.63;4.71;4.91;4.56;1
402369;0;1;el Barri Gòtic;Entire rental unit;Entire home/apt;5;1;2;5;90;2;365;11;0;0;4.29;4.18;4.45;4.64;4.64;4.45;4.18;0
408599;0;1;el Poble Sec;Entire rental unit;Entire home/apt;7;2;3;3;84;1;365;625;91;6;4.64;4.69;4.59;4.83;4.92;4.84;4.6;0
414786;0;1;la Dreta de l'Eixample;Private room in rental unit;Private room;2;2;1;1;17;31;222;171;0;0;4.46;4.56;4.43;4.76;4.72;4.93;4.58;0
417239;0;1;la Vila de Gràcia;Entire home;Entire home/apt;3;1;2;4;106;31;1125;109;2;0;4.71;4.75;4.73;4.77;4.81;4.85;4.6;0
424137;1;1;el Barri Gòtic;Entire serviced apartment;Entire home/apt;5;2;2;3;138;2.6;461.3;206;35;3;4.7;4.58;4.8;4.68;4.82;4.86;4.64;0
424294;0;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;4;1;1;2;160;2;1125;3;0;0;5;5;4.67;4.33;5;5;4.33;0
432482;1;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;4;1.5;2;4;151;1;1125;455;63;3;4.85;4.87;4.89;4.86;4.89;4.96;4.77;0
144471;0;1;Sant Antoni;Private room in rental unit;Private room;2;1;1;1;60;3;365;41;0;0;4.34;4.08;4.56;4.29;4.5;4.64;4.11;0
147275;1;1;el Guinardó;Private room in rental unit;Private room;1;1;1;1;17;31;1125;132;1;0;4.26;4.53;4.19;4.73;4.54;4.58;4.36;0
162091;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;8;2;3;6;182;2.8;1125;75;7;2;4.53;4.51;4.61;4.77;4.73;4.93;4.55;0
171646;1;1;el Clot;Entire rental unit;Entire home/apt;4;1;2;2;127;3.6;330;119;30;0;4.81;4.86;4.8;4.9;4.96;4.84;4.61;0
171816;1;1;el Clot;Entire rental unit;Entire home/apt;3;1;2;3;127;3.5;330;73;17;0;4.75;4.81;4.68;4.95;4.95;4.84;4.63;0
174382;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;8;1;3;6;165;2.8;28;39;12;3;4.46;4.46;4.54;4.59;4.67;4.82;4.41;0
188267;0;0;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;6;2;3;4;313;2;730;128;15;1;4.66;4.58;4.83;4.84;4.79;4.81;4.49;1
439057;0;1;la Vila de Gràcia;Entire rental unit;Entire home/apt;6;2;2;3;135;2;30;410;63;1;4.65;4.77;4.61;4.74;4.81;4.91;4.64;0
443110;0;0;l'Antiga Esquerra de l'Eixample;Entire serviced apartment;Entire home/apt;3;1;2;2;129;1.3;50.5;52;4;0;4.59;4.71;4.79;4.88;4.83;4.69;4.44;1
443222;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;5;1;2;4;89;4;1125;205;27;2;4.64;4.74;4.74;4.83;4.85;4.81;4.58;1
443909;1;1;el Barri Gòtic;Private room in rental unit;Private room;1;1;1;1;32;30.7;62;366;9;1;4.79;4.82;4.75;4.86;4.87;4.91;4.77;0
449854;0;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;3;1;1;2;115;4;1125;243;28;1;4.69;4.64;4.65;4.84;4.83;4.84;4.41;0
449999;0;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;4;1;0;3;150;4;1124;119;33;1;4.67;4.67;4.6;4.8;4.73;4.9;4.45;0
451758;0;1;el Raval;Entire loft;Entire home/apt;4;1;1;2;121;4;1125;226;28;0;4.78;4.85;4.79;4.82;4.86;4.71;4.6;0
196021;1;1;l'Antiga Esquerra de l'Eixample;Entire rental unit;Entire home/apt;8;4;4;6;366;5.2;60;450;58;4;4.95;4.93;4.92;4.99;4.96;4.93;4.9;0
196196;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;8;2;4;7;182;2.8;1125;166;33;1;4.52;4.43;4.62;4.65;4.7;4.87;4.47;0
198958;1;1;Diagonal Mar i el Front Marítim del Poblenou;Entire rental unit;Entire home/apt;8;2;4;6;325;2.3;365;124;19;0;4.72;4.85;4.58;4.75;4.88;4.83;4.67;0
206122;1;1;la Vila de Gràcia;Entire rental unit;Entire home/apt;4;1;2;2;145;3.9;1125;290;46;4;4.73;4.81;4.78;4.78;4.83;4.9;4.72;1
206167;1;1;el Poble Sec;Entire rental unit;Entire home/apt;2;1;1;1;150;3;365;167;24;0;4.89;4.94;4.87;4.95;4.99;4.89;4.8;0
462062;1;1;la Nova Esquerra de l'Eixample;Private room in condo;Private room;1;1;1;1;83;3;730;153;1;0;4.86;4.82;4.92;4.95;4.91;4.81;4.7;0
469157;0;1;el Barri Gòtic;Entire condo;Entire home/apt;4;2;2;3;160;31;1125;39;5;0;4.43;4.46;3.82;4.9;4.85;4.74;4.28;1
469177;1;1;el Poble Sec;Entire rental unit;Entire home/apt;8;2;4;4;124;3;1124;330;42;2;4.56;4.71;4.57;4.64;4.71;4.77;4.58;0
469710;1;1;la Dreta de l'Eixample;Entire loft;Entire home/apt;2;1;1;2;90;2.1;1125;179;30;2;4.72;4.81;4.71;4.83;4.85;4.9;4.55;0
472062;1;1;la Vila de Gràcia;Entire rental unit;Entire home/apt;4;1;2;3;175;4.4;1125;116;33;1;4.89;4.91;4.94;4.94;4.97;4.97;4.77;0
473395;1;1;Sant Gervasi - Galvany;Entire rental unit;Entire home/apt;4;2;2;3;204;5.6;365;86;17;2;4.83;4.87;4.86;4.95;4.99;4.84;4.66;0
473459;1;1;la Vila de Gràcia;Entire rental unit;Entire home/apt;4;2;2;3;200;3.8;365;105;37;2;4.91;4.9;4.9;4.92;4.92;4.86;4.73;0
209673;1;1;la Vila de Gràcia;Entire rental unit;Entire home/apt;4;1;2;3;70;2;1125;371;32;3;4.79;4.84;4.76;4.97;4.98;4.92;4.76;0
234375;0;1;el Fort Pienc;Entire rental unit;Entire home/apt;3;1;1;2;107;6;1125;115;27;2;4.68;4.83;4.72;4.81;4.87;4.83;4.41;0
238703;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;8;2;4;7;182;2.8;30;105;16;2;4.41;4.46;4.5;4.46;4.67;4.89;4.44;0
239821;0;1;Sant Gervasi - Galvany;Entire rental unit;Entire home/apt;8;1;3;5;300;2;90;54;6;0;4.13;4.17;4.24;4.48;4.48;4.48;4.15;0
241614;0;1;el Barri Gòtic;Entire rental unit;Entire home/apt;4;1.5;2;2;113;32;320;56;23;1;4.78;4.84;4.8;4.87;4.91;4.85;4.71;0
242335;0;1;la Barceloneta;Entire rental unit;Entire home/apt;4;1;3;4;82;12.8;1125;5;0;0;4.33;4;3.2;4.25;4.4;5;4;0
252232;1;1;Sant Martí de Provençals;Entire rental unit;Entire home/apt;6;1;3;3;138;3.6;400;141;7;0;4.53;4.48;4.66;4.86;4.82;4.44;4.39;0
481739;0;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;4;1;1;2;133;6.8;1125;119;33;2;4.71;4.82;4.71;4.78;4.86;4.95;4.55;1
487233;0;1;el Poble Sec;Entire rental unit;Entire home/apt;2;1;1;1;151;5;18;314;46;3;4.96;4.96;4.95;4.96;4.97;4.83;4.84;0
490517;0;1;el Camp d'en Grassot i Gràcia Nova;Entire rental unit;Entire home/apt;5;1;2;3;129;6.8;1125;99;26;1;4.25;4.39;4.28;4.51;4.72;4.74;4.06;1
490803;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;4;2;2;2;158;6.7;1125;167;22;4;4.43;4.48;4.26;4.7;4.77;4.88;4.35;1
498416;0;1;el Barri Gòtic;Entire rental unit;Entire home/apt;3;1;1;2;39;61.7;330;12;1;0;4;4.25;4.08;4.83;4.58;4.83;4.08;0
255195;0;1;el Raval;Entire rental unit;Entire home/apt;4;1;1;2;44;62.5;330;27;2;0;4.35;4.15;4.07;4.52;4.63;4.7;4.11;0
256677;0;1;el Barri Gòtic;Private room in rental unit;Private room;2;1;1;1;80;3;1125;265;45;0;4.55;4.76;4.83;4.82;4.7;4.8;4.63;0
265491;1;1;la Barceloneta;Private room in rental unit;Private room;2;1;1;1;75;30.9;40;176;16;2;4.55;4.4;4.14;4.84;4.86;4.9;4.52;0
268017;0;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;6;2;3;3;126;2.8;1125;83;29;1;4.52;4.7;4.72;4.71;4.77;4.84;4.55;1
502436;1;1;el Barri Gòtic;Entire rental unit;Entire home/apt;4;2;2;2;120;32;160;8;1;0;5;5;4.63;4.88;5;5;4.75;0
503765;1;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;3;2;2;2;110;4;1125;213;40;3;4.91;4.9;4.85;4.85;4.95;4.96;4.8;0
504657;0;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;6;1;3;4;90;1;365;4;1;0;4.75;4.75;5;5;5;4.75;4.25;0
508212;1;1;l'Antiga Esquerra de l'Eixample;Entire rental unit;Entire home/apt;2;1;2;2;99;5;1125;175;43;3;4.9;4.9;4.84;4.96;4.97;4.95;4.74;0
510923;1;1;el Congrés i els Indians;Entire rental unit;Entire home/apt;3;2;3;3;140;7;1125;35;6;0;4.6;4.77;4.86;4.94;4.91;4.54;4.69;0
268022;0;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;6;2;3;3;163;2.8;1125;140;35;0;4.68;4.71;4.71;4.42;4.71;4.86;4.56;1
269467;0;1;la Sagrada Família;Entire loft;Entire home/apt;2;1;1;1;176;7;760;96;18;0;4.76;4.88;4.61;4.83;4.8;4.82;4.68;1
270189;0;1;la Vila de Gràcia;Entire rental unit;Entire home/apt;4;1;3;3;110;32;760;2;0;0;4;5;5;5;5;5;5;0
272282;1;1;l'Antiga Esquerra de l'Eixample;Entire rental unit;Entire home/apt;8;2;3;5;395;3;1125;415;10;1;4.92;4.93;4.97;4.94;4.96;4.84;4.81;0
273932;1;1;l'Antiga Esquerra de l'Eixample;Entire rental unit;Entire home/apt;4;2;2;2;106;3;365;320;53;3;4.72;4.81;4.71;4.78;4.87;4.9;4.64;0
512368;0;1;el Raval;Private room in rental unit;Private room;1;2;2;1;19;31;90;37;2;0;4.83;4.84;4.81;4.86;4.78;4.89;4.84;0
512666;1;1;el Raval;Entire rental unit;Entire home/apt;6;1;2;6;111;6;600;70;3;0;4.69;4.61;4.61;4.84;4.91;4.51;4.47;1
512737;1;1;el Raval;Entire rental unit;Entire home/apt;5;1;2;3;111;6;1125;42;6;0;4.88;4.88;4.71;4.9;4.93;4.73;4.63;1
513825;0;1;el Fort Pienc;Entire rental unit;Entire home/apt;6;2;3;4;293;2;365;91;7;0;4.69;4.66;4.81;4.79;4.76;4.79;4.57;0
517407;0;1;el Fort Pienc;Entire rental unit;Entire home/apt;8;2;4;6;336;2;360;152;2;0;4.69;4.76;4.82;4.74;4.68;4.74;4.69;0
519494;1;1;la Vila Olímpica del Poblenou;Entire townhouse;Entire home/apt;5;1.5;2;4;242;3;1125;54;13;0;4.77;4.76;4.7;4.89;4.93;4.89;4.65;1
519631;1;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;8;2;4;5;174;2;60;649;85;4;4.8;4.87;4.82;4.89;4.92;4.87;4.79;0
520389;1;1;l'Antiga Esquerra de l'Eixample;Entire rental unit;Entire home/apt;5;2;3;4;96;3.1;1125;361;48;2;4.62;4.73;4.59;4.7;4.81;4.85;4.61;0
274156;0;1;el Poble Sec;Entire rental unit;Entire home/apt;6;1;2;5;90;1;330;2;0;0;3.5;4;3;5;5;4.5;3;0
274221;0;1;el Barri Gòtic;Entire rental unit;Entire home/apt;5;1;2;5;90;1;365;13;0;0;4.18;4;4.55;4.82;4.91;4.73;4.09;0
275336;1;1;la Nova Esquerra de l'Eixample;Entire condo;Entire home/apt;6;2;3;4;114;1;1125;146;13;0;4.67;4.77;4.83;4.83;4.8;4.8;4.58;1
275346;1;1;Sarrià;Entire condo;Entire home/apt;6;2;3;6;159;1;1125;91;14;2;4.78;4.76;4.76;4.85;4.89;4.71;4.56;1
281985;0;1;la Dreta de l'Eixample;Private room in rental unit;Private room;3;2;1;2;45;31;100;159;0;0;4.3;4.34;4.22;4.61;4.57;4.86;4.43;0
522705;0;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;4;1;2;2;120;9.4;160;195;26;0;4.79;4.83;4.84;4.81;4.79;4.88;4.73;0
528979;1;1;la Vila de Gràcia;Private room in rental unit;Private room;2;1;1;0;45;31;90;146;1;0;4.73;4.86;4.78;4.9;4.81;4.94;4.68;0
531195;1;1;Sant Antoni;Entire serviced apartment;Entire home/apt;11;2;4;9;291;2.6;28;866;202;18;4.94;4.92;4.92;4.95;4.97;4.85;4.85;1
534410;1;1;el Fort Pienc;Entire loft;Entire home/apt;2;1;1;1;239;5;30;217;26;0;4.76;4.81;4.88;4.81;4.86;4.86;4.69;0
534550;1;1;Sant Antoni;Entire serviced apartment;Entire home/apt;9;2;3;8;243;2.6;28;675;178;11;4.96;4.96;4.93;4.98;4.97;4.83;4.87;1
537176;1;1;Sant Antoni;Entire rental unit;Entire home/apt;4;1;2;4;93;3;30;562;60;4;4.86;4.86;4.91;4.97;4.96;4.89;4.84;0
283231;1;1;el Parc i la Llacuna del Poblenou;Entire rental unit;Entire home/apt;4;1;1;2;115;7.4;1125;334;26;1;4.93;4.94;4.9;4.95;4.96;4.94;4.79;1
288034;0;1;la Nova Esquerra de l'Eixample;Entire rental unit;Entire home/apt;2;1;1;2;100;30;1125;19;0;0;4.65;4.68;4.79;4.74;4.95;4.63;4.53;0
290535;0;1;Sant Pere, Santa Caterina i la Ribera;Entire rental unit;Entire home/apt;6;1;3;4;231;31;365;10;3;0;4.9;4.8;4.7;4.9;4.6;5;4.8;0
295200;1;1;la Vila de Gràcia;Entire loft;Entire home/apt;3;1;1;2;151;3.8;1125;273;27;0;4.7;4.77;4.73;4.62;4.75;4.85;4.63;0
543342;1;1;l'Antiga Esquerra de l'Eixample;Entire rental unit;Entire home/apt;4;1;2;2;68;2;364;431;67;3;4.63;4.71;4.65;4.82;4.86;4.92;4.57;0
548052;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;5;1;2;2;90;1;1125;4;0;0;3.75;4;4;5;4.75;4.75;3.5;0
548085;0;1;la Sagrada Família;Entire rental unit;Entire home/apt;3;1;1;3;90;2;330;2;0;0;4;3.5;4;4.5;4.5;4.5;4;0
554955;0;1;el Raval;Entire rental unit;Entire home/apt;4;1;4;4;68;28;32;1;0;0;4;3;5;4;5;5;3;0
315769;1;1;el Camp d'en Grassot i Gràcia Nova;Entire home;Entire home/apt;5;1;2;4;90;2.9;90;80;33;2;4.83;4.7;4.91;4.85;4.89;4.93;4.63;0
684643;1;1;la Nova Esquerra de l'Eixample;Private room in rental unit;Private room;1;1;1;1;25;30.3;1125;8;1;0;4.75;4.75;5;4.88;4.75;5;4.75;0
688527;1;1;Provençals del Poblenou;Entire home;Entire home/apt;4;1;1;2;87;3;1125;320;43;3;4.77;4.85;4.9;4.9;4.88;4.54;4.67;0
688946;1;1;el Clot;Entire rental unit;Entire home/apt;4;1;2;3;110;3;30;250;37;0;4.81;4.9;4.92;4.92;4.96;4.78;4.69;0
558886;0;1;la Nova Esquerra de l'Eixample;Entire rental unit;Entire home/apt;5;2;3;4;80;4;120;251;43;2;4.59;4.72;4.65;4.89;4.89;4.68;4.58;0
564809;1;1;Sant Gervasi - Galvany;Private room in rental unit;Private room;2;1;1;1;45;31;90;101;1;0;4.82;4.83;4.8;4.87;4.81;4.94;4.82;0
567962;1;1;la Bordeta;Entire rental unit;Entire home/apt;3;1;1;1;69;32;1125;43;4;0;4.9;4.86;4.88;4.98;4.98;4.6;4.77;0
568185;1;1;la Nova Esquerra de l'Eixample;Private room in rental unit;Private room;2;1;1;1;40;30;100;90;2;0;4.75;4.86;4.92;4.92;4.84;4.88;4.67;0
569610;0;1;Sants;Entire rental unit;Entire home/apt;2;1;1;1;160;5;1125;53;5;0;4.75;4.78;4.67;4.8;4.88;4.76;4.63;0
694516;0;1;la Font d'en Fargues;Entire condo;Entire home/apt;2;1;1;2;50;31;450;59;4;1;4.86;4.92;4.83;4.9;4.86;4.69;4.81;0
698593;1;1;la Vila de Gràcia;Entire rental unit;Entire home/apt;3;1;2;3;104;2.9;1030.5;459;57;0;4.79;4.81;4.82;4.87;4.92;4.87;4.68;0
699920;1;1;l'Antiga Esquerra de l'Eixample;Entire serviced apartment;Entire home/apt;2;1;1;1;161;3.2;30;94;20;3;4.97;4.98;4.97;4.99;4.96;4.95;4.88;0
700150;1;1;l'Antiga Esquerra de l'Eixample;Entire serviced apartment;Entire home/apt;4;2;2;3;224;3.2;30;122;33;1;4.86;4.93;4.84;4.93;4.96;4.96;4.76;0
572646;1;1;la Barceloneta;Entire rental unit;Entire home/apt;2;1;1;1;60;32;365;70;5;0;4.93;4.94;4.74;4.96;5;4.93;4.84;0
578558;1;1;el Fort Pienc;Entire rental unit;Entire home/apt;11;3;4;8;405;3;729;134;19;0;4.87;4.92;4.86;4.93;4.94;4.84;4.79;1
582364;1;1;el Putxet i el Farró;Entire rental unit;Entire home/apt;11;2.5;4;7;186;2;1125;527;48;2;4.87;4.9;4.84;4.9;4.91;4.67;4.81;0
584348;0;1;el Poblenou;Entire rental unit;Entire home/apt;7;2;3;5;95;4;90;250;35;2;4.69;4.77;4.71;4.76;4.77;4.77;4.53;0
585762;0;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;5;1;1;2;124;2.8;1125;149;42;1;4.54;4.69;4.57;4.64;4.64;4.91;4.56;1
703941;1;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;4;2;2;3;300;3;28;78;15;1;4.97;4.99;4.94;4.95;4.96;4.99;4.91;0
703973;1;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;3;2;2;3;163;3;30;82;5;2;4.84;4.85;4.8;4.93;4.94;4.88;4.74;0
703978;1;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;4;2;2;3;244;3;29;19;2;1;4.79;4.89;4.89;4.95;4.89;4.68;4.53;0
703984;1;1;la Dreta de l'Eixample;Entire rental unit;Entire home/apt;4;2;2;3;300;3;30;55;4;0;4.95;4.96;4.93;4.95;4.96;4.98;4.78;0
